id,description,en
password.label.confirm,Confirm password label,Confirm new password
password.label.current,Current password label,Current password
password.label.new,New password label,New password:
password.match,Password validation,Passwords match
password.minLength,Password validation,{min} characters minimum
password.mismatch,Password validation,Passwords do not match
password.number,Password validation,At least one number
password.validation.msg,Password validation message,Password must have:
performance.appSrc.labels.fieldAgents,Label for field agents in application sources,Field agents
performance.appSrc.labels.hospitalApplications,Label for hospital applications,Health system (integration)
performance.appSrc.labels.nationalRegistrars,Label for national registrars in application sources,National Registrars
performance.appSrc.labels.registrars,Label for registrars in application sources,Registrars
performance.appSrc.labels.registrationAgents,Label for registration agents in application sources,Registration agents
performance.completenessTable.completenessRate,Title for Completeness rate column in the table,Completeness {lineBreak}rate
performance.fieldAgents.col.avgCompTime,Column header for avg declaration completion time in field agent list,Avg. time to send{linebreak}complete declaration
performance.fieldAgents.col.totInProg,Column header for total inprogress declaration sent in field agent list,Sent{linebreak}incomplete
performance.fieldAgents.col.totRej,Column header for total rejected declarations in field agent list,Rejected
performance.fieldAgents.columnHeader.name,Column header for field agent,Field agents ({totalAgents})
performance.fieldAgents.columnHeader.office,Column header for office in field agent list,Office
performance.fieldAgents.columnHeader.role,Column header for role in field agent list,Role
performance.fieldAgents.columnHeader.startMonth,Column header for start of month in field agent list,Start month
performance.fieldAgents.columnHeader.totalSent,Column header for total declaration sent in field agent list,Declarations{linebreak}sent
performance.fieldAgents.columnHeader.type,Column header for type in field agent list,Type
performance.fieldAgents.noResult,Text for no field agent found,No users found
performance.fieldAgents.options.event.births,Label for birth event option,Births
performance.fieldAgents.options.event.both,Label for both event option,Births and deaths
performance.fieldAgents.options.event.deaths,Label for death event option,Deaths
performance.fieldAgents.options.status.active,Label for active status option,Active
performance.fieldAgents.options.status.deactive,Label for deactive status option,Deactive
performance.fieldAgents.options.status.pending,Label for pending status option,Pending
performance.fieldAgents.showMore,Label for show more link,Show next {pageSize}
performance.fieldAgents.title,Header title for field agent list page,Field agnets
performance.header.sysadmin.home,Header for system admin performance home page,Search for an administrative area or office
performance.labels.certificationRate,,Certification rate
performance.operational.workflowStatus.header,Header title for work flow status page,Current declarations in workflow
performance.ops.statCount.desc,Description of the status wise declaration count view,"Current status of {event, select, BIRTH{birth} DEATH{death} records being processed."
performance.payments.label.certificationFee,Label for certification fee,Certification fee
performance.payments.label.correctionFee,Label for correction fee,Correction fee
performance.regRates.column.location,Title for location column on estimation table,Locations
performance.regRates.select.item.byLocation,Label for select option By location,By location
performance.regRates.select.item.byRegistrar,Label for select option By Registrar,By Registrars
performance.regRates.select.item.overTime,Label for select option Over time,Over time
performance.registrarsToCitizen,Title for Registrars to citizens,Registrars to citizens
performance.registrarsToCitizenValue,Value for Registrars to citizens,1 to {citizen}
performance.registrationByStatus.header,Title for Registration by status,Registration by status
performance.registrationsListTable.locationColumn,Title for location column in the table,Location
performance.registrationsListTable.monthColumn,Title for month column in the table,Month
performance.registrationsListTable.registrarColumn,Title for registrar column in the table,Registrar
performance.registrationsListTable.totalRegistrationsColumn,Title for total registrations column in the table,Total Registrations
performance.reports.appStart.desc,Description for declarations started in performance reports,Total and percentage breakdown of the declarations started by source from 
performance.reports.appStart.fieldAgents,Field agent declarations started title,Field agents
performance.reports.corrections.other.label,"Label ""Other"" category in corrections",Other
performance.reports.declarationsStarted.hospitals,Hospitals declarations started title,Hospitals (DHIS2)
performance.reports.declarationsStarted.offices,Offices declarations started title,Registration offices
performance.reports.declarationsStarted.title,Title for declarations started in performance reports,Declarations started
performance.reports.declarationsStarted.total,Total declarations started title,Total started
performance.reports.header.applicationSources,Header for sources of registrations,Sources of registrations
performance.reports.header.completenessRates,Header for report completeness rates,Completeness rates
performance.reports.header.totalCertificates,Header for report total certificates,Certificates issued
performance.reports.header.totalCorrections,Header for report total corrections,Corrections
performance.reports.header.totalPayments,Header for report total payments,Fees collected
performance.reports.header.totalRegistrations,Header for report total registrations,Registrations
performance.reports.select.item.operational,Label for select option Operational,Operational
performance.reports.select.item.reports,Label for select option Reports,Reports
performance.reports.subHeader.applicationSources,Subheader for sources of registrations,The number and percentage of declarations started by each system role that has been registered
performance.reports.subHeader.completenessRates,Sub header for report completeness rates,"The no. of registrations, expressed as a % of the total estimated no. of {event, select, BIRTH{birth} DEATH{death} other{birth}}s occurring"
performance.reports.subHeader.totalCertificates,Sub header for report total certificates,"Certification rate is the no. of certificates issues, expressed as a percentage of the total number of registrations"
performance.stats.header,Title for perforamce stats,Stats
performance.values.labels.birth.healthFacility,Label text for display showing health facility births,Health facility birth
performance.values.labels.birth.home,Label text for display showing private home births,Home birth
performance.values.labels.death.healthFacility,Label text for display showing health facility deaths,Health facility death
performance.values.labels.death.home,Label text for display showing private home deaths,Home death
performance.values.labels.delayed,Label text for display showing delayed registrations,Delayed registrations
performance.values.labels.female,Label text for displays showing the number of females,Female
performance.values.labels.late,Label text for display showing late registrations,Late registrations
performance.values.labels.male,Label text for displays showing the number of males,Male
performance.values.labels.total,Label text for displays showing totals,Total
performance.values.labels.within1Year,Label text for displays showing registered within 1 year,Within 1 year
performance.values.labels.within5Years,Label text for displays showing registered within 5 years,Within 5 years
performance.values.labels.withinTargetDays,Label text for displays showing registered within target days,"{withPrefix, select, true {Registered within} other {Within}} {target} days"
phone.digit,,10
phone.label.changeEmail,Change email address label,What is your new email?
phone.label.changeNumber,Change phone number label,What is your new number?
phone.label.confirmation,Confirmation phone number message,A confirmational SMS has been sent to {num}
phone.label.verify,Verify phone number label,Enter 6 digit verification code
phone.start,Should starts with,0(4|5)
print.cert.coll.id.actions.cancel,The for the dialog when details of the collector not verified,Cancel
print.cert.coll.id.actions.send,The for the dialog when details of the collector not verified,SEND
print.cert.coll.id.description,The description for the dialog when details of the collector not verified,"Please be aware that if you proceed, you will be responsible for issuing a certificate without the necessary proof of ID from the collector"
print.cert.coll.idCheck.actions.noVer,The label for id check component action when does not verify details,Identity does not match
print.cert.coll.idCheck.actions.ver,The label for id check component action when verify details,Verified
print.cert.coll.other.aff.check,Label for no affidavit checkbox,No signed affidavit available
print.cert.coll.other.aff.description,Modal description for other coller form submission without signed affidavit,"Please be aware that if you proceed, you will be responsible for issuing a certificate without necessary evidence from the collector"
print.cert.coll.other.aff.error,Form level error for other collector affidavit form,Upload signed affidavit or click the checkbox if they do not have one.
print.cert.coll.other.aff.form.title,Form title for other collector affidavit form,Upload signed affidavit
print.cert.coll.other.aff.label,File label for signed affidavit,Signed affidavit
print.cert.coll.other.aff.paragraph,Form paragraph for other collector affidavit form,This document should clearly prove that the individual has the authority to collect the certificate
print.cert.coll.other.aff.title,Modal title for other coller form submission without signed affidavit,Print without signed affidavit?
print.certificate.addAnotherSignature,,Add another
print.certificate.birthService,Amount due on certificate for birth label,Service: <strong>Birth registration after {service} of D.o.B.</strong><br/>Amount Due:
print.certificate.button.confirmPrint,The text for print button,"Yes, print certificate"
print.certificate.button.makeCorrection,The label for correction button of print action,"No, make correction"
print.certificate.certificatePreview,The title for certificate preview form,Certificate Preview
print.certificate.collectPayment,The label for collect payment paragraph,"Please collect the payment, print the receipt and hand it over to the payee."
print.certificate.collector.father,The label for select value when father is the collector of certificate,Father
print.certificate.collector.form.error,Form level error for collector form,Please select who is collecting the certificate
print.certificate.collector.form.error.template,Form level error for collector certificate template,Please select certificate type
print.certificate.collector.idCheck.title,The title for id check component,Verify their identity
print.certificate.collector.idCheckDialog.title,The title for the dialog when details of the collector not verified,Print without proof of ID?
print.certificate.collector.informant,The label for select value when informant is the collector of certificate,Informant
print.certificate.collector.mother,The label for select value when mother is the collector of certificate,Mother
print.certificate.collector.other,The label for select value when the collector of certificate is other person,Other
print.certificate.collector.other.form.error,Form level error for other collector information form,Complete all the mandatory fields
print.certificate.collector.other.title,Title for other collector form,Collector details
print.certificate.collector.whoToCollect,The label for collector of certificate select,Certificate collector
print.certificate.deathService,Amount due on certificate for death label,Service: <strong>Death registration after {service} of D.o.D.</strong><br/>Amount Due:
print.certificate.form.name,The title of review button in list expansion actions,Print
print.certificate.form.title,The title of review button in list expansion actions,Print certificate
print.certificate.manualPaymentMethod,The label for select option for manual payment method,Manual
print.certificate.noLabel,, 
print.certificate.noPayment,The title for no payment section,No payment required
print.certificate.onlineOnly,Print certificate online only message,Print certificate is an online only action. Please go online to print the certificate
print.certificate.payment,The title for payment section,Collect payment
print.certificate.paymentAmount,The label for payment amount subsection,{paymentAmount}
print.certificate.paymentInstruction,Description for payment section,"Please collect the payment, print the receipt and hand it over to the payee."
print.certificate.paymentMethod,The label for payment method select,Payment method
print.certificate.printReceipt,The label for print receipt button,Print receipt
print.certificate.queryError,The error message shown when a query fails,An error occurred while querying for birth registration data
print.certificate.review.description,Certificate review description,Please confirm that the informant has reviewed that the information on the certificate is correct and that it is ready to print.
