id,name,partOf,locationType
CRVS_MGT1010060105,CEC ANKADIKELY ILAFY,Location/MGT1010060105,CRVS_OFFICE
CRVS_MGT1010060106,CEC ANKADINANDRIANA,Location/MGT1010060106,CRVS_OFFICE
CRVS_MGT1010060107,CEC FIAFERANA,Location/MGT1010060107,CRVS_OFFICE
CRVS_MGT1010060108,CEC MANANDRIANA,Location/MGT1010060108,CRVS_OFFICE
CRVS_MGT1010060109,CEC MASINDRAY,Location/MGT1010060109,CRVS_OFFICE
CRVS_MGT1010060110,CEC SABOTSY NAMEHANA,Location/MGT1010060110,CRVS_OFFICE
CRVS_MGT1010060111,CEC TALATA VOLONONDRY,Location/MGT1010060111,CRVS_OFFICE
CRVS_MGT1010060112,CEC VILIAHAZO,Location/MGT1010060112,CRVS_OFFICE
CRVS_MGT1010060113,CEC ANOSY AVARATRA,Location/MGT1010060113,CRVS_OFFICE
CRVS_MGT1010060114,CEC AMBOHITRABIBY,Location/MGT1010060114,CRVS_OFFICE
CRVS_MGT1010070115,CEC CU TANA I,Location/MGT1010070115,CRVS_OFFICE
CRVS_MGT1010080116,CEC CU TANA II,Location/MGT1010080116,CRVS_OFFICE
CRVS_MGT1010090117,CEC CU TANA III,Location/MGT1010090117,CRVS_OFFICE
CRVS_MGT1010100118,CEC CU TANA IV,Location/MGT1010100118,CRVS_OFFICE
CRVS_MGT1010110119,CEC CU TANA V,Location/MGT1010110119,CRVS_OFFICE
CRVS_MGT1010120120,CEC CU TANA VI,Location/MGT1010120120,CRVS_OFFICE
CRVS_MGT1010130121,CEC ALAROBIA,Location/MGT1010130121,CRVS_OFFICE
CRVS_MGT1010130122,CEC AMBANITSENA,Location/MGT1010130122,CRVS_OFFICE
CRVS_MGT1010130123,CEC AMBATOLOANA,Location/MGT1010130123,CRVS_OFFICE
CRVS_MGT1010130124,CEC AMBATOMANGA,Location/MGT1010130124,CRVS_OFFICE
CRVS_MGT1010130125,CEC AMBATOMENA,Location/MGT1010130125,CRVS_OFFICE
CRVS_MGT1010130126,CEC AMBOHIBAO SUD,Location/MGT1010130126,CRVS_OFFICE
CRVS_MGT1010130127,CEC AMBOHIBARY,Location/MGT1010130127,CRVS_OFFICE
CRVS_MGT1010130128,CEC AMBOHITRANDRIAMANITRA,Location/MGT1010130128,CRVS_OFFICE
CRVS_MGT1010130129,CEC AMBOHITROLOMAHITSY,Location/MGT1010130129,CRVS_OFFICE
CRVS_MGT1010130130,CEC AMBOHITRONY,Location/MGT1010130130,CRVS_OFFICE
CRVS_MGT1010130131,CEC AMBOHITSEHENO,Location/MGT1010130131,CRVS_OFFICE
CRVS_MGT1010130132,CEC AMPANEVA,Location/MGT1010130132,CRVS_OFFICE
CRVS_MGT1010130133,CEC ANJEPY,Location/MGT1010130133,CRVS_OFFICE
CRVS_MGT1010130134,CEC ANJOMA BETOHO,Location/MGT1010130134,CRVS_OFFICE
CRVS_MGT1010130135,CEC ANKAZODANDY,Location/MGT1010130135,CRVS_OFFICE
CRVS_MGT1010130136,CEC ANTSAHALALINA,Location/MGT1010130136,CRVS_OFFICE
CRVS_MGT1010130137,CEC MANJAKANDRIANA,Location/MGT1010130137,CRVS_OFFICE
CRVS_MGT1010130138,CEC MANTASOA,Location/MGT1010130138,CRVS_OFFICE
CRVS_MGT1010130139,CEC MERIKANJAKA,Location/MGT1010130139,CRVS_OFFICE
CRVS_MGT1010130140,CEC MIADANANDRIANA,Location/MGT1010130140,CRVS_OFFICE
CRVS_MGT1010130141,CEC NANDIHIZANA CARION,Location/MGT1010130141,CRVS_OFFICE
CRVS_MGT1010130142,CEC RANOVAO,Location/MGT1010130142,CRVS_OFFICE
CRVS_MGT1010130143,CEC SADABE,Location/MGT1010130143,CRVS_OFFICE
CRVS_MGT1010130144,CEC SAMBAINA,Location/MGT1010130144,CRVS_OFFICE
CRVS_MGT1010130145,CEC SOAVINANDRIANA,Location/MGT1010130145,CRVS_OFFICE
CRVS_MGT1020140146,CEC AMBATOMAINTY SUD,Location/MGT1020140146,CRVS_OFFICE
CRVS_MGT1020140147,CEC AMBOHITROMBY,Location/MGT1020140147,CRVS_OFFICE
CRVS_MGT1020140148,CEC FENOARIVOBE,Location/MGT1020140148,CRVS_OFFICE
CRVS_MGT1020140149,CEC FIRAVAHANA,Location/MGT1020140149,CRVS_OFFICE
CRVS_MGT1020140150,CEC KIRANOMENA,Location/MGT1020140150,CRVS_OFFICE
CRVS_MGT1020140151,CEC MAHAJEBY,Location/MGT1020140151,CRVS_OFFICE
CRVS_MGT1020140152,CEC MORARANO MARITAMPONA,Location/MGT1020140152,CRVS_OFFICE
CRVS_MGT1020140153,CEC TSINJOARIVO,Location/MGT1020140153,CRVS_OFFICE
CRVS_MGT1020140154,CEC MANGATANY,Location/MGT1020140154,CRVS_OFFICE
CRVS_MGT1020140155,CEC ANDRIAMPOTSY,Location/MGT1020140155,CRVS_OFFICE
CRVS_MGT1020150156,CEC AMBALANIRANA,Location/MGT1020150156,CRVS_OFFICE
CRVS_MGT1020150157,CEC AMBARARATABE,Location/MGT1020150157,CRVS_OFFICE
CRVS_MGT1020150158,CEC AMBATOLAMPY,Location/MGT1020150158,CRVS_OFFICE
CRVS_MGT1020150159,CEC ANKADINONDRY SAKAY,Location/MGT1020150159,CRVS_OFFICE
CRVS_MGT1020150160,CEC ANKERANA NORD,Location/MGT1020150160,CRVS_OFFICE
CRVS_MGT1020150161,CEC ANOSY,Location/MGT1020150161,CRVS_OFFICE
